category,merchant,amount,date,note,recurring
,Side Hustle,-1630.53,1/28/25,Income from Side Hustle,0
,Employer Inc,-917.46,6/18/25,Income from Employer Inc,0
,Freelance Client,-133.18,3/21/25,Income from Freelance Client,0
,Govt Refund,-1223.37,2/16/25,Income from Govt Refund,0
,Govt Refund,-918.4,1/15/25,Income from Govt Refund,0
,Investment Return,-1459.51,3/31/25,Income from Investment Return,0
,Freelance Client,-418.96,2/5/25,Income from Freelance Client,0
,Govt Refund,-1134.07,5/13/25,Income from Govt Refund,0
,Investment Return,-375.53,6/13/25,Income from Investment Return,0
,Investment Return,-330.28,5/9/25,Income from Investment Return,0
,Freelance Client,-580.26,5/30/25,Income from Freelance Client,0
,Govt Refund,-612.41,2/7/25,Income from Govt Refund,0
,Freelance Client,-1740.99,4/26/25,Income from Freelance Client,0
,Employer Inc,-291.08,4/9/25,Income from Employer Inc,0
,Freelance Client,-1923.52,2/2/25,Income from Freelance Client,0
,Employer Inc,-988.36,2/1/25,Income from Employer Inc,0
,Investment Return,-608.94,4/27/25,Income from Investment Return,0
,Investment Return,-1003.97,3/3/25,Income from Investment Return,0
,Govt Refund,-258.82,6/1/25,Income from Govt Refund,0
,Side Hustle,-315.09,4/25/25,Income from Side Hustle,0
